id,text,tag
031.jpg,Date:,B-DATE
031.jpg,01/02/2020,I-DATE
031.jpg,BILL,O
031.jpg,OF,O
031.jpg,LADING,O
031.jpg,Page,O
031.jpg,1,O
031.jpg,SHIP,O
031.jpg,FROM,O
031.jpg,FLOORS,O
031.jpg,LLC,O
031.jpg,Bill,B-INVOICE_NO
031.jpg,of,I-INVOICE_NO
031.jpg,lading,I-INVOICE_NO
031.jpg,number:,I-INVOICE_NO
031.jpg,7357885,I-INVOICE_NO
031.jpg,"pautow,",O
031.jpg,"""ca",O
031.jpg,30720,O
031.jpg,1.00000109735789E+016,O
031.jpg,SHIP,O
031.jpg,TO,O
031.jpg,30418,O
031.jpg,Name..:,O
031.jpg,PCD,O
031.jpg,PACIFIC,O
031.jpg,COAST,O
031.jpg,DIST,O
031.jpg,G,B-CUST_NAME
031.jpg,W,I-CUST_NAME
031.jpg,PAULSON,I-CUST_NAME
031.jpg,CO,I-CUST_NAME
031.jpg,R,O
031.jpg,NA,O
031.jpg,10855,O
031.jpg,SW,O
031.jpg,CASCADE,O
031.jpg,AVE,O
031.jpg,TIGARD,O
031.jpg,Trailer,O
031.jpg,Number,O
031.jpg,BILL,O
031.jpg,FREIGHT,O
031.jpg,TO:,O
031.jpg,ENGINEERED,B-COMPANY_NAME
031.jpg,"FLOORS,",I-COMPANY_NAME
031.jpg,LLC,I-COMPANY_NAME
031.jpg,PO,O
031.jpg,BOX,O
031.jpg,2207,O
031.jpg,"DALTON,",O
031.jpg,GA,O
031.jpg,30722,O
031.jpg,Freight,O
031.jpg,Charge,O
031.jpg,Terms,O
031.jpg,Prepaid,O
031.jpg,Collect,O
031.jpg,Third,O
031.jpg,Party,O
031.jpg, ,O
031.jpg,Master,O
031.jpg,bill,O
031.jpg,of,O
031.jpg,lading:,O
031.jpg,with,O
031.jpg,attached,O
031.jpg,Underlying,O
031.jpg,bills,O
031.jpg,of,O
031.jpg,lading,O
031.jpg,“CUSTOMER,O
031.jpg,ORDER,O
031.jpg,INFORMATION,O
031.jpg,CUSTOMER,O
031.jpg,ORDER,O
031.jpg,PALLET/SLIP,O
031.jpg,ADDITIONAL,O
031.jpg,SHIPPER,O
031.jpg,INFO,O
031.jpg,41860WOSPT,O
031.jpg,|,O
031.jpg,fa,O
031.jpg,N,O
031.jpg,P/1#-5874735,O
031.jpg,Ord#-7221788,O
031.jpg,n,O
